source,entity_label,entity_text,count
kaggle,LOC,cary,32
kaggle,LOC,brighton,32
kaggle,GPE,cary,32
kaggle,LOC,brampton (canada),32
kaggle,LOC,abilene,32
kaggle,GPE,st. cloud,32
kaggle,GPE,highland,32
kaggle,LOC,greenwood,32
kaggle,LOC,garden grove,32
kaggle,GPE,brampton (canada),32
kaggle,LOC,issaquah,32
kaggle,GPE,garden grove,32
kaggle,GPE,issaquah,32
kaggle,LOC,highland,32
kaggle,GPE,adelaide (south australia),32
kaggle,LOC,palmdale,32
kaggle,GPE,pittsburg,32
kaggle,LOC,rapid city,32
kaggle,GPE,brentwood,32
kaggle,GPE,holland,32
kaggle,GPE,palmdale,32
kaggle,GPE,chesapeake,32
kaggle,LOC,martinez,31
kaggle,GPE,burlington (canada),31
kaggle,GPE,johnson city,31
kaggle,GPE,sioux falls,31
kaggle,GPE,jupiter,31
